Adsorbate,Facet,CN,Site,n_metal,GCN,Valency,chi,Bader,ed,wd,E_bind,E_ads,n_H,n_H_NN
CO,2AD_100,5,bridge,2,3.11,2,2.55,2.9918,-1.99,1.83,-2.097213,-16.550894,0,0
CO,3AD_111,5,top,1,3.5,2,2.55,2.9918,-1.63,1.74,-2.53104,-16.984721,0,0
CO,3AD_111,5,bridge,2,3.17,2,2.55,2.9918,-1.63,1.74,-2.222826,-16.676507,0,0
CO,3AD_111,5,three-fold hollow,3,3.27,2,2.55,2.9918,-1.63,1.74,-2.097777,-16.551458,0,0
CO,4AD_100,6,top,1,4.42,2,2.55,2.9918,-2.02,1.96,-2.149453,-16.603134,0,0
CO,4AD_100,6,bridge,2,4,2,2.55,2.9918,-2.02,1.96,-1.994911,-16.448592,0,0
CO,4AD_100,6,four-fold hollow,4,3.39,2,2.55,2.9918,-2.02,1.96,-1.460728,-15.914409,0,0
COH,111,9,three-fold hollow,3,6.95,3,2.55,3.4389,-2.08,2.09,-4.703169,-19.652849,0,1
COH,100,8,bridge,2,6.67,3,2.55,3.4389,-2,1.96,-4.930914,-19.880594,0,1
COH,100,8,four-fold hollow,4,6.62,3,2.55,3.4389,-2,1.96,-4.726639,-19.676319,0,1
COH,110,7,bridge,2,5.78,3,2.55,3.4389,-1.94,1.87,-4.730332,-19.680012,0,1
COH,211,7,top,1,5.5,3,2.55,3.4389,-2.09,1.99,-3.159416,-18.109096,0,1
COH,211,7,bridge,2,5.39,3,2.55,3.4389,-2.09,1.99,-4.673245,-19.622925,0,1
COH,221,7,top,1,5.5,3,2.55,3.4389,-2.09,1.99,-3.278902,-18.228582,0,1
COH,221,7,bridge,2,5.44,3,2.55,3.4389,-2.09,1.99,-4.513376,-19.463056,0,1
COH,322,7,top,1,5.5,3,2.55,3.4389,-2.02,1.95,-3.322802,-18.272482,0,1
COH,322,7,bridge,2,5.39,3,2.55,3.4389,-2.02,1.95,-4.797391,-19.747071,0,1
COH,1AD_111,3,top,1,2.5,3,2.55,3.4389,-1.59,1.6,-3.626521,-18.576201,0,1
COH,1AD_100,4,top,1,3,3,2.55,3.4389,-1.85,1.69,-3.391203,-18.340883,0,1
COH,2AD_100,5,top,1,3.58,3,2.55,3.4389,-1.99,1.83,-3.517821,-18.467501,0,1
COH,2AD_100,5,bridge,2,3.11,3,2.55,3.4389,-1.99,1.83,-4.430257,-19.379937,0,1
COH,2AD_111,4,top,1,2.92,3,2.55,3.4389,-1.75,1.73,-3.827406,-18.777086,0,1
COH,2AD_111,4,bridge,2,2.83,3,2.55,3.4389,-1.75,1.73,-4.605185,-19.554865,0,1
COH,3AD_111,5,three-fold hollow,3,3.27,3,2.55,3.4389,-1.63,1.74,-4.895756,-19.845436,0,1
COH,4AD_100,6,top,1,4.42,3,2.55,3.4389,-2.02,1.96,-3.397731,-18.347411,0,1
COH,4AD_100,6,bridge,2,4,3,2.55,3.4389,-2.02,1.96,-4.390814,-19.340494,0,1
COH,4AD_100,6,four-fold hollow,4,3.39,3,2.55,3.4389,-2.02,1.96,-4.333668,-19.283348,0,1
CHO,111,9,top,1,7.5,1,2.55,3.1606,-2.08,2.09,-2.637234,-19.417827,1,0
CHO,100,8,top,1,6.67,1,2.55,3.1606,-2,1.96,-2.762048,-19.542641,1,0
CHO,100,8,bridge,2,6.67,1,2.55,3.1606,-2,1.96,-2.64784,-19.428433,1,0
CHO,110,7,top,1,5.83,1,2.55,3.1606,-1.94,1.87,-2.859443,-19.640036,1,0
CHO,211,7,top,1,5.5,1,2.55,3.1606,-2.09,1.99,-2.719883,-19.500476,1,0
